game_no,round_no,game_code,game_day,game_date,hmaw_status,home_team,ht_code,away_team,at_code,ground_name,game_time,time_slot,game_state
161,19,R19Col,Sunday,30/7/17,H,Collingwood,Col,Adelaide,Ade,MCG,3:20 pm,D,VIC
162,19,R19WCE,Sunday,30/7/17,H,WCE,WCE,Brisbane,Bri,Domain Stadium,4:40 pm,T,WA
163,20,R20Gee,Friday,4/8/17,H,Geelong,Gee,Sydney,Syd,Simonds Stadium,7:50 pm,N,VIC
164,20,R20Gre,Saturday,5/8/17,H,Greater Western Sydney,Gre,Melbourne,Mel,Manuka Oval,1:45 pm,D,NSW
165,20,R20Ess,Saturday,5/8/17,H,Essendon,Ess,Carlton,Car,MCG,2:10 pm,D,VIC
166,20,R20Bri,Saturday,5/8/17,H,Brisbane,Bri,Western Bulldogs,Wes,Gabba,4:35 pm,T,QLD
167,20,R20Nor,Saturday,5/8/17,H,North Melbourne,Nor,Collingwood,Col,Etihad Stadium,7:25 pm,N,VIC
168,20,R20Fre,Saturday,5/8/17,H,Fremantle,Fre,Gold Coast,Gol,Domain Stadium,7:40 pm,N,WA
169,20,R20StK,Sunday,6/8/17,H,StKilda,StK,WCE,WCE,Etihad Stadium,1:10 pm,D,VIC
170,20,R20Ric,Sunday,6/8/17,H,Richmond,Ric,Hawthorn,Haw,MCG,3:20 pm,D,VIC
171,20,R20Ade,Sunday,6/8/17,H,Adelaide,Ade,Port Adelaide,Por,Adelaide Oval,4:40 pm,D,SA
172,21,R21Wes,Friday,11/8/17,H,Western Bulldogs,Wes,Greater Western Sydney,Gre,Etihad Stadium,7:50 pm,N,VIC
173,21,R21Syd,Saturday,12/8/17,H,Sydney,Syd,Fremantle,Fre,SCG,1:45 pm,D,NSW
174,21,R21Gee,Saturday,12/8/17,H,Geelong,Gee,Richmond,Ric,Simonds Stadium,2:10 pm,D,VIC
175,21,R21Bri,Saturday,12/8/17,H,Brisbane,Bri,Gold Coast,Gol,Gabba,4:35 pm,T,QLD
